JANNITTO, JOHN J
JEREKS, JOHN
JARVIS, ANTONIO
JAWOREK, ANDREW
JAWOREK, FRANK J
JOHNSON, HENRY
JOHNSON, IVER W,*
JOHNSON, MANNE S
JOHNSON, MARTIN C
JOLY, JOSEPH W
JOLY, OVIDE T
JOLY, WILFRED
JONES, ROLAND T
JURCZYK, FRANK
KALIFY, BECHARA
KEEFE, CHRISTOPHER W
KELLEY, HOWARD J
KEYES, JAMES P
KING, FRANK F
KINNEY, CHARLES S
KOWZIK, JOHN
LACHANCE, ALFRED
LACHAPELLE, JOSEPH E
LAFERRIERE, DONAT
LAFERRIERE, FRANCIS J
LAMORA, CHARLES
LANOIE, ALDEAS P
LANOUE, OVILA J
LAROCHE, JEAN B
LAROCHE, WILFRED J,*
LAURIENZO, ANTONIO
LAVEY, THOMAS P
LAVOIE, ULYSSES
LAWRENCE, MATTHEW
LEE, FERDINAND
LEMIEUX, ARTHUR
LESCAULT, OSCAR J
LESSARD, OLIVER W
LEWIS, GEORGE W
LITTLE, FRANCIS
LITTLE, JOSEPH
LITTLE, STEPHEN W
LITTLEFIELD, JAMES A
LIVSEY, EDWARD V
LOMAS, WILLIAM T
LOMBARDI, MICHAEL
LOMBARDO, ALMA
LYNCH, CORNELIUS J
MACHADO, FRANK
MADDOX, GEORGE A
MAGGIACOMO, GUISEPPE
MAGUIRE, EDWARD
MALLORY, JOHN D
MARCHAND, PAUL
MARKS, JOSEPH
MARSHALL, JOHN E
MARSHALL, LEONARD
MARTIN, HOWARD L
MASON, CHARLES E
MASON, OLIVER L
MASSUD, GEORGE E
MASUD, CHARLES
MAYO, ANTHONY
MCCANN, JOSEPH T
MCCANN, MICHAEL F
MCCANN, THOMAS
MCDERMOTT, ALFRED
MCDONOUGH, JOHN F
MCKENNA, WILLIAM H
MCLAUGHLIN, JOSEPH F
MCMAHON, JAMES W
MCMAHON, JOHN
MCMURRY, HENRI W
MELLEN, ERNEST
MELLO, JOHN C
MELLO, JOSEPH
MERCHANT, MARCIUS H
MERCIER, ALBERT M
MERCIER, HENRY
MERCIER, NAPOLEON
MERTON, HERBERT P
MESSIER, CHARLES A
MESSIER, FRANK
MESSIER, JOSEPH A
MEYERS, CHARLES S
MITCHELL, REUBEN E
MOGAYZEL, SIMON
MONGEAU, LOUIS J
MORIN, WILFRED
MORRISSEY, HARRY R
MORRISSEY, THOMAS M
MUIR, JAMES M
MURPHY, EDWARD P
MYERS, CHARLES L,*
NANS, EDWARD A
NATALE, CARLO
NATEL, JOSEPH
NELLE, MARTIN T JR
NORGAARD, HAAKON
NORTON, DANIEL W
O'LEARY, JERRY D
OLIVE, ALFRED T
OVERWOOD, HENRY
PAGE, RICHARD
PAGE, WILFRED P
PAIVA, MANUEL
PAQUIN, HENRY O
PAQUIN, VICTOR
PARENT, JOSEPH
PARENT, LEO
PARENT, WILFRED
PATTERSON, JOHN B
PATTIE, SIMON J
PATTIE, THOMAS
PAWLOSKI, CHARLES
PETRELLA, ALEXANDER
PHANEUF, EUCLID
PICHARD, ALPHONSO W
PIERCE, WILLIAM J,*
PINKOS, STANLEY
POISSON, WILLIAM
POITRAS, ERNEST
POITRAS, HENRY
POITRAS, ISREAL
POITRAS, WILLIAM
PRIMIANO, ANGELO G
PRIMIANO, PIETRO
RAINER, ARTHUR
RAPPINO, JOSEPH
REDFERN, JAMES H
REGNERE, JOSEPH
RENE, ARTHUR G
RENE, HENRI A
RENE, JOSEPH H
RIENDEAU, ALFRED
RIENDEAU, WILFRED
RICHARDSON, JOSEPH
ROBERTS, HOWARD N
ROBERTS, JACQUES J
ROCKETT, JOSEPH M
ROSA, JOHN P
ROY, ALFRED J JR
ROY, JOSEPH A
RYBARCZYK, FRANK
RYBARCZYK, FELIX
SAHADY, SHAHEEN
SAILLANT, ARTHUR J
SAILLANT, HENRI H
SAILLANT, JEAN
SAILLANT, JOHN
SAILLANT, JOSEPH C
SAMPSON, ALEXANDER J
SARRIS, JOHN B
SAWIN, ROY L
SCHMULTS, ERNEST F
SEATON, JAMES W
SERVANT, JOHN
SEVIGNY, ALEXANDER J
SEVIGNY, EUGENE
SEYMOUR, ORRIN S
SEYMOUR, WILMARTH Y
SILVA, FRANK
SILVA, LOUIS
SILVERIA, HENRY M
SIMMONS, ALBERT,*
SIMMONS, FEDERICK C
SIMMONS, JOSEPH A
SIMMONS, WILFRED C
SLOCUM, HENRY
SLOCUM, WILLIAM H
SMALL, CLAYTON B
SMITH, JOHN B
SMITH, LEWIS B
SMUS, JOSEPH P
SOURATY, ALEXANDER A
SOUSA, MANUEL
SPEAR, WALDO W
SPLAIN, MICHAEL R
STEVENS, WALTER L,*
STUART, ALBERT O,*
STUART, LAWRENCE W
STRONG, GEORGE L
SULLIVAN, EDWARD
SULLIVAN, HENRY A
SULLIVAN, JOHN H
SUNDERLAND, HENRY H
SUNDERLAND, RALPH H
SYLVARIA, HARRY M
TANNER, HERMAN M
TATORA, DOMINIC,*
TATORA, FELENCE
TAVARES, JESSE M
TAVARES, LOUIS M SR
TURNER, WILLIAM B,*
URBAN, FRANK
URBAN, LAWRENCE
VIALL, WILLIAM K
VICTORY, THOMAS
VIERA, JOHN
VINCENT, DAMASE
VINCENT, WILFRED O
VITTORIA, MARCOCCIA
VITULLO, ANGELO
VITULLO, GIOVANNI
VITULLO, JOHN
VITULLO, NICHOLAS A
WALSH, DAVID A
WARNER, CHARLES T
WATTS, HENRY
WATTS, THOMAS J
WELLS, MAURICE C
WHEELER, ROBERT P
WHORF, JOHN A
WIGHTMAN, FRANK A
WILBOUR, GEORGE G
WILCOX, PAUL A
WILMARTH, HOWARD M
YOST, CARL F
YOST, HENRY E
