BOTELHO, JOHN O,FALSE,WW2
BOTILHO, JAMES J,FALSE,WW2
BOUCHARD, HENRY A,FALSE,WW2
BOUCHER, EDGAR J,FALSE,WW2
BOUCHER, WILFRED A,FALSE,WW2
BOUCHER, WILFRED J,TRUE,WW2
BOUDREAU, EDMUND R,FALSE,WW2
BOUDREAU, WILFRED A,FALSE,WW2
BOUFFARD, GERALD G,FALSE,WW2
BOUFFARD, IRENE Y,FALSE,WW2
BOUFFARD, LEO R,FALSE,WW2
BOUFFARD, NORMAN E,FALSE,WW2
BOUFFARD, NORMAN J,FALSE,WW2
BOUFFARD, RAYMOND J,FALSE,WW2
BOULANGER, JOHN J JR,FALSE,WW2
BOULANGER, RICHARD J,FALSE,WW2
BOWEN, HAROLD,FALSE,WW2
BOWEN, RICHARD,FALSE,WW2
BOYOREK, ANDREW J,FALSE,WW2
BOZZARIO, PASQUALE,FALSE,WW2
BRANCH, JOSEPH,FALSE,WW2
BRELSFORD, JOSEPH E,FALSE,WW2
BRIAND, DANIEL,FALSE,WW2
BRIAND, JOHN,FALSE,WW2
BRIMMER, LEWIS J,FALSE,WW2
BRISTOW, STEVEN F,FALSE,WW2
BRISTOW, WARREN J,FALSE,WW2
BROUCHU, DONAT L,FALSE,WW2
BROCHU, OVIDE,FALSE,WW2
BROUCHU, RAYMOND F,FALSE,WW2
BROUILLETTE, EDWARD N,FALSE,WW2
BROUILLETTE, MAURICE A,FALSE,WW2
BROUILLETTE, ROBERT R,FALSE,WW2
BROWN, ARTHUR W,FALSE,WW2
BROWN, JOSEPH R,FALSE,WW2
BRULE, AMBROSE A,FALSE,WW2
BRULE, EDWARD L,FALSE,WW2
BRULE, LEO H,FALSE,WW2
BRUNEAU, MILTON,FALSE,WW2
BRYDA, EDWARD J,FALSE,WW2
BUCKO, JOSEPH J,FALSE,WW2
BUCKO, THEODORE W,FALSE,WW2
BUCZYNSKI, VICTOR J,FALSE,WW2
BUDARZ, JOHN W,FALSE,WW2
BULLOCK, HOWARD N,FALSE,WW2
BURDGE, CHARLES H,FALSE,WW2
BURDGE, LESTER F,FALSE,WW2
BURKE, ARTHUR E JR,FALSE,WW2
BURNS, JOHN F,FALSE,WW2
BURNS, THOMAS R JR,FALSE,WW2
CABRAL, VICTOR G C,FALSE,WW2
ADILE, FRANK,FALSE,WW2
CADY, JOHN P,FALSE,WW2
CAIZZI, ERNEST A,FALSE,WW2
CALDWELL, OWEN D JR,FALSE,WW2
CAMBIO, JOHN,FALSE,WW2
CAMINSKY, GEORGE R,FALSE,WW2
CAMUSO, ANTHONY,FALSE,WW2
CAPIZANO, CHARLES C,FALSE,WW2
CAPPUCCILLI, ANTHONY A,FALSE,WW2
CAPPUCCILLI, EDMUND D,FALSE,WW2
CARDOZA, ELSIE E,FALSE,WW2
CARIGLIA, NICHOLAS F,FALSE,WW2
CARLONE, NICHOLAS,FALSE,WW2
CARMONE, PAUL,FALSE,WW2
CAROSELLI, ERNEST R,FALSE,WW2
CARREIRO, GEORGE C,FALSE,WW2
CARREIRO, JOSEPH M,FALSE,WW2
CARTER, ADELARD J,FALSE,WW2
CARTER, JACK,FALSE,WW2
CARUOLO, PAUL V,FALSE,WW2
CARVALHO, BENOIT,FALSE,WW2
CARVALHO, MANUEL,FALSE,WW2
CASALA, CARL L,FALSE,WW2
CASALA, FRANK K JR,FALSE,WW2
CASALE, CHARLES N JR,FALSE,WW2
CASTRO, JOHN J JR,FALSE,WW2
CHAMPLIN, WILLIAM M,FALSE,WW2
CHAPUT, NORMAN M,TRUE,WW2
CHARETTE, ALFRED,FALSE,WW2
CHARETTE, GEORGE E,FALSE,WW2
