DUBOIS ALFRED J,,FALSE
DUBOIS CHARLES W.,,FALSE
DUBOIS, LOUIS,FALSE
DUBUQUE, WILLIAM,FALSE
DUCKWORTH, CHARLES G,FALSE
DUMONT, JOHN,FALSE
EATON, HOWARD H,FALSE
EKMAN, CARL,FALSE
EMMETT, ROBERT J,FALSE
ENNIS, EDWARD J,FALSE
ENNIS, JULIAN,FALSE
FAINE, PORTER,FALSE
FLAGG, EDMUND,FALSE
FLEET, SAMUEL H,FALSE
FLETCHER, PAUL W,FALSE
FOREST, WILLIAM E,FALSE
FORTIER, DONAT,FALSE
FORTIN, ARTHUR J,FALSE
FORTIN, GEORGE,FALSE
FORTORA, DOMENIC,FALSE
FOURNIER, ADELARD,FALSE
FOURNIER, JOSEPH,FALSE
FOURNIER, MEDERIC J,TRUE
FRAZER, MANUEL,FALSE
FREELOVE, LESTER G,FALSE
GAGNON, GEORGE J,FALSE
GALAWSZKA, HENRY,FALSE
GAMAGE, CHARLES B,FALSE
GANCZ, JOHN,FALSE
GARCEAU, AMDEE J,FALSE
GARCEAU, HENRY G,FALSE
GARDNER, PAUL A,FALSE
GAREIS, ERNEST,FALSE
GARVIN, GEORGE J,FALSE
GASPARRO, CARMINE,FALSE
GAUNTLETT, WALTER D,FALSE
GAUTHIER, ALBERT J,FALSE
GAUVIN, OLIVER,FALSE
GELINAS, CHARLES,FALSE
GELINAS, WELFRED,FALSE
GEORGE, STEVE,FALSE
GIGUERE, EDWARD,FALSE
GILDERT, JOHN A,FALSE
GILL, AUSTIN C,FALSE
GILLAN, JAMES,FALSE
GILLON, WILLIAM,FALSE
GILMOUR, JOHN,FALSE
GIRARD, EUGENE J,FALSE
GIRARDI, JOSEPH,FALSE
GLANCY, WALTER,FALSE
GOFF, NATHAN D,FALSE
GOFF, RUFUS H,FALSE
GOLOSKIE, ALBERT,FALSE
GOLOSKIE, CHARLES,FALSE
GOLOSKIE, JOHN,FALSE
GONZENBACH, WALTER,FALSE
GOULET, LUCIEN O,FALSE
GOURLEY, HUGH,FALSE
GOVER, RUSSELL,FALSE
GRACYALNY, JOHN,FALSE
GRANGER, EUCIDE B,FALSE
GRAVES, ELMER A,FALSE
GREENHAIGH, HARRY,FALSE
GRIFFITH, BENJAMIN F,FALSE
GRIFFITH, ROBERT F,FALSE
GURRY, ELLIS T,FALSE
HAFLIGER, CHARLES,FALSE
HAFLIGER, FRITZ,FALSE
HAFLIGER, JOHANNES,FALSE
HALL, BENJAMIN M,FALSE
HALL, JOHN R,FALSE
HALL, PRESTON I JR,FALSE
HALL, WILLIAM B JR,FALSE
HAMEL, BRUNO A,FALSE
HARRIS, GEORGE,FALSE
HEALY, JOHN,FALSE
HEALY, JOSEPH H,TRUE
HICKEY, JOSEPH,FALSE
HIGGINS, CHARLES E,FALSE
HIGGINS, EDWARD J,FALSE
HIGGINS, JOHN A,TRUE
HODGINS, CHARLES E,FALSE
HODSON, ERNEST B,FALSE
HOLMES, CHARLES W,FALSE
HORNER, HARRY J,FALSE
HOWARD, DAVID R,FALSE
HOWLAND, HENRY R,FALSE
INCOLLINGO, SABATINO,FALSE
JACOB, RUSSELL,FALSE
JANNITTO, GAETANO,FALSE
JANNITTO, JOHN J,FALSE
JEREKS, JOHN,FALSE
JARVIS, ANTONIO,FALSE
JAWOREK, ANDREW,FALSE
JAWOREK, FRANK J,FALSE
JOHNSON, HENRY,FALSE
JOHNSON, IVER W,TRUE
JOHNSON, MANNE S,FALSE
JOHNSON, MARTIN C,FALSE
JOLY, JOSEPH W,FALSE
JOLY, OVIDE T,FALSE
JOLY, WILFRED,FALSE
JONES, ROLAND T,FALSE
JURCZYK, FRANK,FALSE
KALIFY, BECHARA,FALSE
KEEFE, CHRISTOPHER W,FALSE
KELLEY, HOWARD J,FALSE
KEYES, JAMES P,FALSE
KING, FRANK F,FALSE
KINNEY, CHARLES S,FALSE
KOWZIK, JOHN,FALSE
LACHANCE, ALFRED,FALSE
LACHAPELLE, JOSEPH E,FALSE
LAFERRIERE, DONAT,FALSE
LAFERRIERE, FRANCIS J,FALSE
LAMORA, CHARLES,FALSE
LANOIE, ALDEAS P,FALSE
LANOUE, OVILA J,FALSE
LAROCHE, JEAN B,FALSE
LAROCHE, WILFRED J,TRUE
LAURIENZO, ANTONIO,FALSE
LAVEY, THOMAS P,FALSE
LAVOIE, ULYSSES,FALSE
LAWRENCE, MATTHEW,FALSE
LEE, FERDINAND,FALSE
LEMIEUX, ARTHUR,FALSE
LESCAULT, OSCAR J,FALSE
LESSARD, OLIVER W,FALSE
LEWIS, GEORGE W,FALSE
LITTLE, FRANCIS,FALSE
LITTLE, JOSEPH,FALSE
LITTLE, STEPHEN W,FALSE
LITTLEFIELD, JAMES A,FALSE
LIVSEY, EDWARD V,FALSE
LOMAS, WILLIAM T,FALSE
LOMBARDI, MICHAEL,FALSE
LOMBARDO, ALMA,FALSE
LYNCH, CORNELIUS J,FALSE
MACHADO, FRANK,FALSE
MADDOX, GEORGE A,FALSE
MAGGIACOMO, GUISEPPE,FALSE
MAGUIRE, EDWARD,FALSE
MALLORY, JOHN D,FALSE
MARCHAND, PAUL,FALSE
MARKS, JOSEPH,FALSE
MARSHALL, JOHN E,FALSE
MARSHALL, LEONARD,FALSE
MARTIN, HOWARD L,FALSE
MASON, CHARLES E,FALSE
MASON, OLIVER L,FALSE
MASSUD, GEORGE E,FALSE
MASUD, CHARLES,FALSE
MAYO, ANTHONY,FALSE
MCCANN, JOSEPH T,FALSE
MCCANN, MICHAEL F,FALSE
MCCANN, THOMAS,FALSE
MCDERMOTT, ALFRED,FALSE
MCDONOUGH, JOHN F,FALSE
MCKENNA, WILLIAM H,FALSE
MCLAUGHLIN, JOSEPH F,FALSE
MCMAHON, JAMES W,FALSE
MCMAHON, JOHN,FALSE
MCMURRY, HENRI W,FALSE
MELLEN, ERNEST,FALSE
MELLO, JOHN C,FALSE
MELLO, JOSEPH,FALSE
MERCHANT, MARCIUS H,FALSE
MERCIER, ALBERT M,FALSE
MERCIER, HENRY,FALSE
MERCIER, NAPOLEON,FALSE
MERTON, HERBERT P,FALSE
MESSIER, CHARLES A,FALSE
MESSIER, FRANK,FALSE
MESSIER, JOSEPH A,FALSE
MEYERS, CHARLES S,FALSE
MITCHELL, REUBEN E,FALSE
MOGAYZEL, SIMON,FALSE
MONGEAU, LOUIS J,FALSE
MORIN, WILFRED,FALSE
MORRISSEY, HARRY R,FALSE
MORRISSEY, THOMAS M,FALSE
MUIR, JAMES M,FALSE
MURPHY, EDWARD P,FALSE
MYERS, CHARLES L,TRUE
NANS, EDWARD A,FALSE
NATALE, CARLO,FALSE
NATEL, JOSEPH,FALSE
NELLE, MARTIN T JR,FALSE
NORGAARD, HAAKON,FALSE
NORTON, DANIEL W,FALSE
O'LEARY, JERRY D,FALSE
OLIVE, ALFRED T,FALSE
OVERWOOD, HENRY,FALSE
PAGE, RICHARD,FALSE
PAGE, WILFRED P,FALSE
PAIVA, MANUEL,FALSE
PAQUIN, HENRY O,FALSE
PAQUIN, VICTOR,FALSE
PARENT, JOSEPH,FALSE
PARENT, LEO,FALSE
PARENT, WILFRED,FALSE
PATTERSON, JOHN B,FALSE
PATTIE, SIMON J,FALSE
PATTIE, THOMAS,FALSE
PAWLOSKI, CHARLES,FALSE
PETRELLA, ALEXANDER,FALSE
PHANEUF, EUCLID,FALSE
PICHARD, ALPHONSO W,FALSE
PIERCE, WILLIAM J,TRUE
PINKOS, STANLEY,FALSE
POISSON, WILLIAM,FALSE
POITRAS, ERNEST,FALSE
POITRAS, HENRY,FALSE
POITRAS, ISREAL,FALSE
POITRAS, WILLIAM,FALSE
PRIMIANO, ANGELO G,FALSE
PRIMIANO, PIETRO,FALSE
RAINER, ARTHUR,FALSE
RAPPINO, JOSEPH,FALSE
REDFERN, JAMES H,FALSE
REGNERE, JOSEPH,FALSE
RENE, ARTHUR G,FALSE
RENE, HENRI A,FALSE
RENE, JOSEPH H,FALSE
RIENDEAU, ALFRED,FALSE
RIENDEAU, WILFRED,FALSE
RICHARDSON, JOSEPH,FALSE
ROBERTS, HOWARD N,FALSE
ROBERTS, JACQUES J,FALSE
ROCKETT, JOSEPH M,FALSE
ROSA, JOHN P,FALSE
ROY, ALFRED J JR,FALSE
ROY, JOSEPH A,FALSE
RYBARCZYK, FRANK,FALSE
RYBARCZYK, FELIX,FALSE
SAHADY, SHAHEEN,FALSE
SAILLANT, ARTHUR J,FALSE
SAILLANT, HENRI H,FALSE
SAILLANT, JEAN,FALSE
SAILLANT, JOHN,FALSE
SAILLANT, JOSEPH C,FALSE
SAMPSON, ALEXANDER J,FALSE
SARRIS, JOHN B,FALSE
SAWIN, ROY L,FALSE
SCHMULTS, ERNEST F,FALSE
SEATON, JAMES W,FALSE
SERVANT, JOHN,FALSE
